S.#,Question,Option1,Option2,Option3,Option4,Answer,Clevel,Time,Column1
1,"What is the main point of the message below?   ""Thanks for checking in, We're busier than ever here at the clinic.It's busy time of year-more and more people are waiting to get procedures done here instead of the hospital.I think we're going to have to put this off untill next spring. Sorry to string you along. We usually slow down a bit in April and May.I'll reach out to you early next year.""",The sender doesnot want to work with the recipient.,The sender is upset that the recipient has delayed things.,The sender is very busy due to health issues. ,The sender wants to work with the recipient at a later time.,OP4,High,120,
2,What is the missing number that should take the place of the question mark? 3I8I8I?I13I18I18,12,3,13,18,OP3,Medium,40,
3,Synonyms & Antonyms:    Imperious: Subservient                                         ,Have neither similar nor opposite meaning,Have opposite meaning,Have similar meaning,,OP2,Medium,40,
4,Which two of the following statements PROVE that Alex has a meeting at 10:00 AM tomorrow?,Alex will drink coffee tomorrow,Alex usually has a meeting with his boss every morning,Alex drinks coffee only at meetings at 10:00 AM,Alex is buying coffee beans for himself to use for a meeting,OP 1& 3,High,60,
5,     1                 2                 3               4               ,,,,,,,,
6,Which of the shape option continues the sequence:,,,,,OP4,Medium,40,
7,"Directions to Erik's house
 Leave Interstate 25 at exit 7S. Follow that road (Elm Street) for two miles. After one mile,you will pass a small shopping center on your left. At the next set of traffic lights, turnright onto Maple Drive. Erik's house is the third house on your left. It's number 33, andit's white with green trim                             Answer The question given below:  What is Erik's address?",Interstate 25,2 Elm Street,"33 Maple Drive
",13 Erika Street,OP3,High,115,
5,Which number completes this equation? 37 + 4 = 52 - ?,10,11,12,13,OP1,Easy,15,
6,Which nation has the highest propotion of public sector investment compared to total investment?,France,Germany,Italy,Spain,OP4 ,High,90,
7,Charlie was a flight attendent(    )seven years., after,during,for,through,OP 3,Easy,10,
8,We (    ) the new Spider Man movie 4 time already.,are seeing,have seen,see,will see,OP 2,Easy,10,
9,How an employee shows their employer they are worth their paycheck is called,Working,Ethics,Work Ethics,Work Days,OP 3,Easy,15,
10,"If you value your work and take pride in your results, you probably have a good work ethic.",TRUE,FALSE,,,OP 1,Easy,10,
11,"Which of these answers show how to act in a professional manner?
",Always late for work,Gossip about others ," 
Be trustworthy",Talk about your private life at work.,0P3,Easy,10,
12,Letting my friends eat without charging them is not stealing because my friends are hungry.,TRUE,FALSE,,,0P2,Easy,10,
13,Wasting resources cost the company money and can lead to environmental problems.,TRUE,FALSE,,,0P1,Easy,10,
14,10x57=, 507 , 470 , 570 , 750 ,0P3,Easy,10,
15,250+975=," 1,525 "," 1,225 "," 1,552 "," 1,522 ",0P2,Easy,10,
16,980/6=, 163 , 136 , 166 , 316 ,0P1,Easy,10,
17,What is the odd one out?,Coin,Ticket,Cheque,Letter,OP4,Easy,10,
,,,,,,,,,
18,Which is an example of plagiarism?,Reading a paragraph online and retyping it in your own words,Copying and pasting someone else's work into your paper using quotation marks and citing the author,Typing a paper in your own words,Copying and pasting a sentence from the Internet into your paper,OP4,Easy,15,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
